precip,snofall,snomlt,et,flo_out
18.4,0,0,1.13,1.288
6.14E-02,0,0,0.786,1.15
0,0,0,0.626,0.588
5.15,0,0,1.11,0.515
6.87,0,0,0.754,0.811
0.577,0,0,1.16,0.784
9.19,0,0,0.991,0.974
2.27,0,0,1.52,0.806
0,0,0,1.3,0.568
0,0,0,0.78,0.496
0,0,0,0.841,0.469
4.18,0,0,1.24,0.505
0,0,0,2.03,0.442
0,0,0,1.3,0.402
0,0,0,1.01,0.382
2.5,0,0,0.652,0.393
0,0,0,1.23,0.36
0.293,0,0,1.22,0.341
12.5,0,0,0.875,0.418
10.6,0,0,0.854,1.16
4.16,0,0,1.51,0.626
0.949,0,0,1.27,0.552
2.62,0,0,0.597,0.482
12.1,0,0,0.458,0.57
1.2,0,0,0.57,1.177
1.35,0,0,0.926,0.513
0,0,0,0.327,0.451
0,0,0,0.211,0.414
0,0,0,0.301,0.393
0,0,0,0.368,0.38
2.73,0,0,0.19,0.375
0.859,0,0,0.21,0.435
0.372,0,0,0.708,0.382
4.13,0,0,0.924,0.43
0,0,0,0.967,0.417
2.28,0,0,0.427,0.371
11,0,0,0.345,0.411
3.51,0,0,1.02,1.2
3.1,0,0,0.804,0.487
2.71,0,0,1.35,0.599
33.4,0,0,0.992,1.777
9.11,0,0,0.32,2.679
0.644,0,0,0.374,1.452
0.426,0,0,1.17,0.825
0,0,0,0.671,0.693
19.6,0,0,0.847,1.91
12.3,0,0,1.29,1.264
0.274,0,0,0.758,1.528
7.46,0,0,0.621,0.948
2.78,0,0,0.398,1.16
0,0,0,0.501,0.82
0,0,0,0.762,0.702
0,0,0,1.15,0.64
0,0,0,0.713,0.591
0,0,0,0.918,0.552
0,0,0,0.53,0.516
0,0,0,0.564,0.477
0,0,0,0.297,0.458
0,0,0,0.565,0.431
0,0,0,0.187,0.411
1.3,0,0,0.27,0.398
2.28,0,0,0.537,0.412
0,0,0,0.502,0.385
2.22,0,0,0.792,0.377
4.33E-02,0,0,0.717,0.346
3.17,0.646,0.646,0.679,0.369
5.76,0,0,0.639,0.377
7.22,0,0,0.597,0.572
5.69,0,0,0.487,0.489
2.86,0,0,0.617,0.615
3.44,0,0,1.43,0.493
3.52,0.839,0.839,0.781,0.482
3.95,1.3,1.3,0.623,0.447
9.72E-03,3.13E-04,0,0.371,0.35
9.34E-03,0,0,0.495,0.278
0.866,0.144,0.144,1.27,0.266
0.582,0,0,1.02,0.275
3.78,1.23,1.23,0.345,0.272
1.13,0,0,0.112,0.376
0,0,0,8.06E-02,0.33
1.33,0,0,0.226,0.288
0,0,0,0.363,0.278
0,0,0,0.325,0.257
0.476,3.75E-02,3.75E-02,0.157,0.246
0.39,0,0,0.332,0.248
0.316,0,0,0.732,0.24
5.52,0,0,0.322,0.33
10.2,0,0,0.396,0.61
0.314,0,0,0.767,0.538
15.2,0,0,0.448,0.726
1.23,0,0,0.621,1.453
7.93,0,0,0.804,0.991
1.98,0,0,1.28,0.542
1.34,0,0,0.702,0.552
5.8,0,0,0.621,0.685
14.6,0,0,0.971,0.915
9.61,0,0,0.499,1.862
2.93,0,0,1.02,0.803
22.4,0,0,0.64,2.475
1.52,0,0,1.25,1.577
3.53,0,0,0.709,0.989
0.265,0,0,1.65,0.782
9.61,0,0,1.09,0.755
3.79E-04,0,0,0.628,1.184
26.5,0,0,0.992,2.305
12.7,0,0,0.774,2.68
21.8,0,0,0.765,2.68
3.46,0,0,1.08,1.933
15.8,0,0,0.771,2.82
