jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
79,3,20,2002,4.72,0,0,0.864,1.07,0.565,2.75,11.7,5.7,8.7,8.67,0.136
80,3,21,2002,1.90E-04,0,0,1.35,1.72,0.555,2.75,12.3,6.3,9.3,14.3,0.138
81,3,22,2002,0,0,0,0.679,0.863,0.544,2.75,12.4,6.37,9.37,7.46,0.141
82,3,23,2002,0,0,0,0.862,1.09,0.534,2.75,11.2,5.19,8.18,6.95,0.143
83,3,24,2002,2.11,0,0,1.46,1.72,0.526,2.75,10.9,4.91,7.91,11.7,0.146
84,3,25,2002,1.38,0,0,0.841,1.04,0.518,2.75,10.1,4.13,7.13,8.57,0.148
85,3,26,2002,0,0,0,1.54,1.96,0.511,2.75,8.2,2.21,5.2,17.2,0.149
86,3,27,2002,0,0,0,1.56,1.98,0.5,2.75,9.32,3.32,6.32,17.1,0.151
87,3,28,2002,0,0,0,1.56,2,0.489,2.75,9.32,3.33,6.33,17.5,0.153
88,3,29,2002,0,0,0,1.7,2.18,0.479,2.75,9.4,3.4,6.4,17.7,0.154
89,3,30,2002,5.98,0,0,2.01,2.31,0.48,2.75,9.99,3.99,6.99,17.6,0.156
90,3,31,2002,6.76,0,0,0.52,0.646,0.492,2.75,11.5,5.51,8.51,4.53,0.159
91,4,1,2002,7.51,0,0,0.69,0.861,0.513,2.75,10.8,3.85,7.34,4.46,0.161
92,4,2,2002,1.1,0,0,1.33,1.56,0.506,2.75,11.1,4.07,7.56,11.6,0.163
93,4,3,2002,2.19,0,0,0.575,0.713,0.503,2.75,12.3,5.27,8.77,4.78,0.165
94,4,4,2002,0,0,0,0.947,1.07,0.495,2.75,11.9,4.86,8.36,8.92,0.168
95,4,5,2002,0,0,0,2.26,2.88,0.487,2.75,12.5,5.48,8.98,18.8,0.17
96,4,6,2002,0,0,0,2.93,3.75,0.474,2.75,11,4.02,7.51,20.2,0.172
97,4,7,2002,0,0,0,2.15,2.75,0.461,2.75,9.69,2.69,6.19,20.5,0.174
98,4,8,2002,0,0,0,1.7,2.23,0.45,2.75,9.58,2.58,6.08,19.7,0.176
99,4,9,2002,0,0,0,1.5,1.97,0.44,2.75,10.7,3.69,7.19,17.2,0.178
100,4,10,2002,0,0,0,2.14,2.82,0.43,2.75,10.2,3.19,6.69,20.5,0.18
101,4,11,2002,0,0,0,1.92,2.53,0.419,2.75,8.53,1.53,5.03,17.9,0.181
102,4,12,2002,0.138,0,0,1.53,2.01,0.409,2.75,10.2,3.19,6.69,13.4,0.183
103,4,13,2002,1.15,0,0,2.27,2.71,0.4,2.75,8.93,1.93,5.43,21.5,0.185
104,4,14,2002,0.268,0,0,1.1,1.32,0.392,2.75,9.4,2.4,5.9,9.21,0.186
105,4,15,2002,0,0,0,1.79,2.27,0.385,2.75,8.89,1.89,5.39,16.6,0.188
106,4,16,2002,0,0,0,2.15,2.75,0.376,2.75,10.6,3.57,7.07,19.3,0.19
107,4,17,2002,20.4,0,0,1.49,1.78,0.42,2.75,11.5,4.48,7.98,11.8,0.192
108,4,18,2002,8.12,0,0,0.95,1.16,0.438,2.75,10.5,3.47,6.97,7.16,0.194
109,4,19,2002,3.05,0,0,2.26,2.56,0.439,2.75,11.7,4.73,8.23,21.5,0.196
110,4,20,2002,6.43,0,0,1.71,1.98,0.449,2.75,12.8,5.82,9.32,12.1,0.199
111,4,21,2002,6.09,0,0,2.06,2.35,0.459,2.75,14.1,7.12,10.6,9.22,0.202
112,4,22,2002,0,0,0,1.06,1.35,0.45,2.75,13.7,6.66,10.2,8.75,0.205
113,4,23,2002,0.724,0,0,1.23,1.41,0.441,2.75,13.5,6.46,9.96,10.5,0.208
114,4,24,2002,0.139,0,0,2,2.52,0.433,2.75,12.2,5.24,8.74,21.9,0.21
115,4,25,2002,16.1,0,0,2.41,2.74,0.479,2.75,12.3,5.28,8.78,19.6,0.212
116,4,26,2002,2.15,0,0,2.26,2.57,0.47,2.75,11.7,4.74,8.24,18.6,0.215
117,4,27,2002,24.9,0,0,1.17,1.39,0.561,2.75,10.7,3.71,7.21,6.12,0.217
118,4,28,2002,2.74,0,0,1.32,1.56,0.55,2.75,10.8,3.79,7.29,9.15,0.219
119,4,29,2002,17.5,0,0,2.05,2.34,0.609,2.75,10.9,3.88,7.38,15,0.221
120,4,30,2002,1.88,0,0,1.97,2.26,0.589,2.75,11.2,4.21,7.71,21.1,0.223
121,5,1,2002,1.47,0,0,2.21,2.52,0.576,2.75,11,3.74,7.39,21.5,0.225
122,5,2,2002,0,0,0,2.43,3.1,0.562,2.75,11.4,4.13,7.78,25.6,0.227
123,5,3,2002,0,0,0,2.47,3.16,0.546,2.75,11.3,4.04,7.69,25.8,0.23
124,5,4,2002,0,0,0,2.11,2.7,0.53,2.75,11.4,4.12,7.77,20.4,0.232
125,5,5,2002,0.268,0,0,2.62,3.34,0.515,2.75,12.8,5.46,9.11,23.2,0.234
126,5,6,2002,0,0,0,1.85,2.38,0.501,2.75,13.1,5.82,9.47,13.2,0.237
127,5,7,2002,0,0,0,0.651,0.853,0.488,2.75,13.1,5.79,9.44,5.4,0.24
