precip,snofall,snomlt,et,flo_out
0,0,0,0.541,0.397
0.705,0,0,1.18,0.286
9.37E-02,0,0,0.942,0.202
0,0,0,0.533,0.145
3.18E-02,0,0,0.476,0.105
0.42,0,0,0.639,7.69E-02
2.05,0,0,0.812,6.05E-02
5.62E-02,0,0,0.863,4.00E-02
14.3,0,0,1.01,0.67
9.39,0,0,0.396,1.09
18.6,0,0,2.16,2.01
2.93,0,0,1.82,1.54
35.7,0,0,0.818,4.03
3.84,0,0,1.94,2.83
0.285,0,0,1.21,1.99
2.71,0,0,1.61,1.46
30.1,0,0,0.899,3.82
21.5,0,0,0.994,3.91
11.1,0,0,1.69,3.41
19.7,0,0,0.675,3.76
17.3,0,0,1.51,3.73
2.5,0,0,1.4,2.69
14.2,0,0,0.447,2.85
17.4,0,0,0.389,3.33
1.88E-02,0,0,1.18,2.25
2.44,0,0,0.391,1.7
5.45,0,0,0.21,1.57
5.8,0,0,1.13,1.52
7.54E-02,0,0,1,1.05
7.64,0,0,2.1,1.17
0,0,0,0.846,0.804
17.4,0,0,0.808,1.77
0.149,0,0,0.551,1.17
0,0,0,0.323,0.829
3.79,0,0,0.921,0.778
11.1,0,0,0.469,1.33
0.896,0,0,0.821,0.943
14,0,0,0.757,1.7
5.19,0,0,1.32,1.42
0.144,0,0,0.742,0.991
6.35E-02,0,0,0.304,0.705
0,0,0,0.34,0.502
11.5,0,0,1.17,1.03
0,0,0,1.19,0.692
0,0,0,0.563,0.491
0,0,0,0.386,0.351
2.88,0,0,0.375,0.355
0.466,0,0,0.952,0.258
1.71,0,0,1.02,0.266
20.5,0,0,0.645,1.57
17.9,0,0,0.587,2.24
7.33,0,0,1.25,1.84
0.296,0,0,0.838,1.29
4.85,0,0,0.393,1.15
17.4,0,0,0.224,2
5.16,0,0,0.356,1.62
5.53,0,0,0.76,1.43
1.88E-02,0,0,0.1,0.996
9.93E-02,0,0,5.49E-02,0.707
3.18E-02,0,0,0.129,0.504
0,0,0,0.133,0.359
3.52,0,0,6.17E-02,0.415
1.71,0,0,7.25E-02,0.345
3.12,0,0,0.463,0.419
6.98,0,0,0.833,0.779
2.06E-02,0,0,0.708,0.53
3.21,0,0,0.205,0.508
20.9,0,0,0.2,1.81
5.16,0,0,0.788,1.55
7.32,0,0,0.537,1.44
6.83,0,0,1.11,1.46
51.3,0,0,0.817,4.66
25.5,0,0,0.19,4.77
5.5,0,0,0.257,3.7
2.22,0,0,0.881,2.71
6.91E-02,0,0,0.419,1.92
19.7,0,0,0.713,2.93
15.1,0,0,1.08,3.13
1.26,0,0,0.553,2.18
10.4,0,0,0.417,2.44
6.35,0,0,0.28,2.12
0,0,0,0.243,1.47
3.73E-02,2.66E-03,2.66E-03,0.503,1.05
0,0,0,0.506,0.745
3.73E-02,0,0,0.182,0.532
0,0,0,0.272,0.38
0,0,0,0.155,0.273
0,0,0,0.105,0.197
3.73E-02,2.66E-03,2.66E-03,5.24E-02,0.141
0,0,0,0.139,0.103
5.62E-02,4.16E-03,4.16E-03,4.34E-02,7.56E-02
1.02,0,0,9.28E-02,6.22E-02
2.93,0,0,0.304,0.164
0.313,4.77E-02,4.77E-02,0.234,0.112
4.78,0,0,0.572,0.34
2.15E-02,1.50E-03,1.50E-03,0.525,0.229
10.2,6.23,1.96,0.485,0.37
14.6,0,4.26,0.385,1.77
6.92,0,0,0.332,1.53
14.3,9.48,2.97,0.222,1.4
10.8,0,6.51,0.346,2.44
3.81,0,0,1.26,1.87
3.5,1.43,1.32,0.562,1.48
3.12,1.36,0.833,0.312,1.1
0.346,0.196,3.82E-05,0.104,0.774
0.137,2.17E-02,2.07E-04,0.206,0.55
0.211,1.28E-02,1.99E-02,0.996,0.393
0.399,1.75E-02,0.776,0.734,0.383
4.98,2.71,0.178,0.166,0.302
1.84,0,2.61,4.75E-03,0.598
0.137,0,0,1.10E-02,0.432
0.608,0,0,7.88E-02,0.397
0,0,0,0.186,0.281
9.37E-02,2.66E-03,2.66E-03,0.131,0.202
0.414,2.20E-02,6.00E-03,6.47E-02,0.147
1.2,0,1.60E-02,0.158,0.185
0.373,0,0,0.565,0.146
7.74,0,0,0.213,0.586
17,0,0,0.261,1.64
1.4,0,0,0.468,1.15
27.8,0,0,0.283,3.02
1.24,0,0,0.431,2.05
9.65,0,0,0.578,2.29
5.99,0,0,1.13,2.14
5.76,0,0,0.606,1.81
13.4,0,0,0.542,2.32
15.9,0,0,0.855,2.9
17.1,0,0,0.407,3.3
5.67,0,0,0.819,2.62
33.4,0,0,0.506,4.51
2.47,0,0,1.17,3.05
9.92,0,0,0.572,2.89
0.303,0,0,1.46,1.99
13.9,0,0,1.1,2.48
1.43,0,0,0.529,1.75
36.6,0,0,0.79,4.28
24.7,0,0,0.657,4.69
18.9,0,0,0.63,4.66
4.06,0,0,0.993,3.48
19.9,0,0,0.631,4.03
9.4,0,0,0.899,3.44
11.4,0,0,1.17,3.19
16.1,0,0,0.523,3.25
18.1,0,0,0.451,3.62
1.49,0,0,1.24,2.54
33.3,0,0,0.883,4.53
2.06E-02,0,0,0.787,2.96
3.03,0,0,1.51,2.23
0.324,0,0,0.55,1.58
0.115,5.32E-03,5.32E-03,0.283,1.12
0.163,0,0,0.186,0.798
0,0,0,5.84E-02,0.569
4.16,0,0,0.36,0.63
4.29,0,0,0.906,0.662
22.7,0,0,0.285,1.79
0.659,0,0,1.01,1.2
25.9,0,0,0.683,2.47
2.96,0,0,0.927,1.75
1.76,0,0,1.09,1.32
39.3,0,0,0.298,3.71
42.4,0,0,0.283,5.68
0.309,0,0,1.44,3.69
1.32,0,0,1.41,2.63
0,0,0,0.32,1.86
0.298,0,0,0.628,1.33
1.81,0,0,0.382,0.974
9.37E-02,0,0,0.335,0.687
0.425,0,0,0.417,0.492
5.29,0,0,1.14,0.68
1.07,0,0,0.546,0.474
0.15,0,0,1.24,0.336
10.4,0,0,0.483,0.931
7.4,0,0,0.765,1.19
5.5,0,0,0.825,1.14
0.195,0,0,1.08,0.792
0,0,0,0.482,0.562
0,0,0,0.822,0.401
0.29,0,0,0.98,0.288
6.21,0,0,0.516,0.483
1.47,0,0,0.955,0.371
5.33,0,0,0.652,0.605
5.15,0,0,0.329,0.654
1.67,0,0,0.626,0.511
5.3,0,0,0.937,0.639
0.441,0,0,1.3,0.439
0,0,0,0.235,0.311
3.73E-02,0,0,0.452,0.222
1.87,0,0,1.53,0.184
1.19,0,0,0.696,0.153
0,0,0,0.947,0.104
3.73E-02,0,0,0.805,7.52E-02
0,0,0,0.807,5.40E-02
0,0,0,0.834,3.91E-02
16.7,0,0,1.78,0.939
14.2,0,0,0.4,1.59
7.82,0,0,0.616,1.68
2,0,0,1.07,1.26
1.6,0,0,0.509,0.958
0,0,0,0.909,0.673
0,0,0,1.27,0.478
0,0,0,1.57,0.338
0,0,0,1.11,0.241
0,0,0,0.91,0.172
0,0,0,0.71,0.123
0,0,0,1.14,8.69E-02
0,0,0,0.961,6.25E-02
0,0,0,0.736,4.48E-02
1.35,0,0,1.77,3.82E-02
0.736,0,0,0.684,2.70E-02
0,0,0,0.841,1.63E-02
0,0,0,1.03,1.16E-02
27.8,0,0,1.51,1.55
21.4,0,0,0.741,2.62
3.67,0,0,1.88,1.92
9.16,0,0,1.63,1.89
13.3,0,0,1.93,2.4
0.16,0,0,0.618,1.61
1.2,0,0,1.18,1.15
0.791,0,0,1.66,0.814
31.2,0,0,2.01,2.75
8.09,0,0,1.92,2.18
32.7,0,0,0.939,3.87
8.21,0,0,0.961,3.15
23.5,0,0,1.61,3.87
4.65,0,0,1.79,2.87
3.49,0,0,1.83,2.24
0,0,0,1.35,1.57
0,0,0,1.36,1.12
0.134,0,0,1,0.795
0.163,0,0,1.46,0.564
0,0,0,0.791,0.401
0,0,0,0.242,0.286
0,0,0,0.559,0.204
0,0,0,0.734,0.145
0,0,0,0.918,0.104
0,0,0,1.31,7.46E-02
6.64,0,0,2.07,0.181
11.2,0,0,0.937,0.815
3.52,0,0,1.68,0.823
2.45,0,0,1.25,0.685
3.73E-02,0,0,2.25,0.475
20.8,0,0,2.47,1.57
6.93,0,0,1.56,1.48
35,0,0,1.26,3.98
5.14,0,0,0.905,2.84
13.7,0,0,1.58,3.1
4.52,0,0,0.959,2.43
12.3,0,0,2.41,2.69
0.668,0,0,1.73,1.83
18,0,0,1.66,2.67
1.06,0,0,1.88,1.78
